# author-map.tsv — mapeia AUTOR (texto livre) -> LOGIN do MOJ. Separado por TAB.
# Tipos de linha:
#   <autor exato><TAB><login>     mapeia um autor (informativo; preserva-se o texto no pacote)
#   @repo:<repo><TAB><login>      DONO do diretório (repo) na migração — curador/professor
#   @default<TAB><login>          fallback global do dono (default: curador)
# Curadoria manual do long-tail: use `author-survey.sh` p/ a lista completa (332 autores).
# Um "diretório" (repo Gitea) tem UM dono; a autoria por problema fica no arquivo `author`.
@default	curador
# --- donos dos diretórios (coleções/cursos) ---
@repo:saad-problems	danielsaad
@repo:obi-problems	curador
@repo:compiladores-problems	brunoribas
@repo:eda2-problems	edsonalves
@repo:flia-problems	brunoribas
@repo:problemas-apc	curador
@repo:monitores	curador
@repo:moj-problems	curador
# --- autores frequentes (sugestões; ajuste à vontade) ---
Edson Alves	edsonalves
Bruno Ribas	brunoribas
John L. Gardenghi	johngardenghi
Daniel Saad Nogueira Nunes	danielsaad
Daniel Sundfeld	danielsundfeld
Sinayra Moreira	sinayramoreira
Tiago Alves	tiagoalves
